matched_name,HQ CITY,HQ STATE,INDUSTRY,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,JUST_CAPITALS_JUST_100_RANK,POINTS_OF_LIGHT_CIVIC_50
merck,Rahway,NJ,"Health Care, Life Sciences & Pharmaceuticals",1,,,
general mills,Minneapolis,MN,Retail & Consumer Goods,2,,,"GENERAL MILLS, INC."
illumina,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",3,,56.0,
applied materials,Santa Clara,CA,Technology,4,,13.0,
tapestry,New York City,NY,Retail & Consumer Goods,5,,,"TAPESTRY, INC."
hp,Palo Alto,CA,Technology,6,86.0,,
mastercard,Purchase,NY,Financial,7,63.0,32.0,
nvidia,Santa Clara,CA,Technology,8,3.0,,
hewlett packard enterprise,Spring,TX,Technology,9,27.0,1.0,HEWLETT PACKARD ENTERPRISE
agilent,Santa Clara,CA,"Health Care, Life Sciences & Pharmaceuticals",10,,,
avery dennison,Glendale,CA,Capital Goods,11,,,
ecolab,St. Paul,MN,Materials & Chemicals,12,,,
analog devices,Wilmington,MA,Technology,13,,,
palo alto networks,Santa Clara,CA,Software,14,,,
american tower,Boston,MA,Media & Telecommunications,15,,,
paypal,San Jose,CA,Financial,16,,,
the hartford,Hartford,CT,Financial,17,,,
keysight,Santa Rosa,CA,Technology,18,,,
advanced micro devices,Santa Clara,CA,Technology,19,,23.0,
regeneron,Tarrytown,NY,"Health Care, Life Sciences & Pharmaceuticals",20,,,
borgwarner,Auburn Hills,MI,Automotive & Components,21,,,
autodesk,San Francisco,CA,Software,22,,,
danaher,Washington,D.C.,"Health Care, Life Sciences & Pharmaceuticals",23,,,
ingersoll rand,Davidson,NC,Capital Goods,24,,,
amn healthcare,Dallas,TX,"Health Care, Life Sciences & Pharmaceuticals",25,,,
lam research,Fremont,CA,Technology,26,,,
adobe,San Jose,CA,Software,27,25.0,,ADOBE INC.
zurn elkay water solutions,Milwaukee,WI,Capital Goods,28,,,
qualcomm,San Diego,CA,Technology,29,,44.0,
ciena,Hanover,MD,Media & Telecommunications,30,,,
cisco systems,San Jose,CA,Technology,31,2.0,,
thermo fisher scientific,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",32,,,
visa,San Francisco,CA,Financial,33,49.0,,
tmobile,Bellevue,WA,Media & Telecommunications,34,,,
cbre,Dallas,TX,Real Estate & Housing,35,,,
hni,Muscatine,IA,Retail & Consumer Goods,36,,,
manpowergroup,Milwaukee,WI,Professional Services,37,,,
infinera,San Jose,CA,Technology,38,,,
motorola solutions,Chicago,IL,Technology,39,,,
xylem,Washington,D.C.,Capital Goods,40,,,
otis,Farmington,CT,Capital Goods,41,,,
apple,Cupertino,CA,Technology,42,,,
dxc technology,Tysons,VA,Professional Services,43,,,
edgewell personal care,Shelton,CT,Retail & Consumer Goods,44,,,
humana,Louisville,KY,Financial,45,,,
teradata,San Diego,CA,Software,46,,,
organon,Jersey City,NJ,"Health Care, Life Sciences & Pharmaceuticals",47,,,
keurig dr pepper,Burlington,MA,Retail & Consumer Goods,48,,,
sp global,New York City,NY,Financial,49,,,
general motors,Detroit,MI,Automotive & Components,50,,,
cadence,San Jose,CA,Software,51,9.0,,
juniper networks,Sunnyvale,CA,Technology,52,,,
colgatepalmolive,New York City,NY,Retail & Consumer Goods,53,,,
kimberlyclark,Dallas,TX,Retail & Consumer Goods,54,,,
unitedhealth group,Minnetonka,MN,"Health Care, Life Sciences & Pharmaceuticals",55,,,UNITEDHEALTH GROUP
fifth third bank,Cincinnati,OH,Financial,56,,,
unum group,Chattanooga,TN,Financial,57,,,UNUM GROUP
nasdaq,New York City,NY,Financial,58,,,
ralph lauren,New York City,NY,Retail & Consumer Goods,59,,,
las vegas sands,Las Vegas,NV,"Hotels, Dining & Leisure",60,,,
target,Minneapolis,MN,Retail & Consumer Goods,61,65.0,,
iff,New York City,NY,Materials & Chemicals,62,,,
grainger,Lake Forest,IL,Capital Goods,63,,,
avient,Avon Lake,OH,Materials & Chemicals,64,,,
estée lauder companies,New York City,NY,Retail & Consumer Goods,65,,,
baxter,Deerfield,IL,"Health Care, Life Sciences & Pharmaceuticals",66,,,
fluor,Irving,TX,Capital Goods,67,,,
state street,Boston,MA,Financial,68,,,
lowes companies,Mooresville,NC,Retail & Consumer Goods,69,,,
dell technologies,Round Rock,TX,Technology,70,,,
aptargroup,Crystal Lake,IL,Materials & Chemicals,71,,,
kla,Milpitas,CA,Technology,72,,,
,Oakland,CA,Retail & Consumer Goods,73,41.0,2.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,3.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,12.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,15.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,21.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,22.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,26.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,27.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,28.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,36.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,38.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,41.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,43.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,46.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,47.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,51.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,52.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,58.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,63.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,64.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,66.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,68.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,70.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,72.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,73.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,75.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,78.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,82.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,83.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,85.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,86.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,89.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,90.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,94.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,95.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,97.0,
,Oakland,CA,Retail & Consumer Goods,73,41.0,100.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,2.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,3.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,12.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,15.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,21.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,22.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,26.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,27.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,28.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,36.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,38.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,41.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,43.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,46.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,47.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,51.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,52.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,58.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,63.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,64.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,66.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,68.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,70.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,72.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,73.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,75.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,78.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,82.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,83.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,85.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,86.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,89.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,90.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,94.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,95.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,97.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,100.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,2.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,3.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,12.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,15.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,21.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,22.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,26.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,27.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,28.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,36.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,38.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,41.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,43.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,46.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,47.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,51.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,52.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,58.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,63.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,64.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,66.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,68.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,70.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,72.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,73.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,75.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,78.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,82.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,83.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,85.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,86.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,89.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,90.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,94.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,95.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,97.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,100.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,2.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,3.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,12.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,15.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,21.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,22.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,26.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,27.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,28.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,36.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,38.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,41.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,43.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,46.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,47.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,51.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,52.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,58.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,63.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,64.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,66.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,68.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,70.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,72.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,73.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,75.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,78.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,82.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,83.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,85.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,86.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,89.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,90.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,94.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,95.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,97.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,100.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,2.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,3.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,12.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,15.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,21.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,22.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,26.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,27.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,28.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,36.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,38.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,41.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,43.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,46.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,47.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,51.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,52.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,58.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,63.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,64.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,66.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,68.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,70.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,72.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,73.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,75.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,78.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,82.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,83.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,85.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,86.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,89.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,90.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,94.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,95.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,97.0,
,Denver,CO,Retail & Consumer Goods,287,41.0,100.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,2.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,3.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,12.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,15.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,21.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,22.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,26.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,27.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,28.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,36.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,38.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,41.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,43.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,46.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,47.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,51.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,52.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,58.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,63.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,64.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,66.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,68.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,70.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,72.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,73.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,75.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,78.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,82.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,83.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,85.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,86.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,89.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,90.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,94.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,95.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,97.0,
,Denver,CO,Retail & Consumer Goods,287,91.0,100.0,
,Eden Prairie,MN,Capital Goods,445,41.0,2.0,
,Eden Prairie,MN,Capital Goods,445,41.0,3.0,
,Eden Prairie,MN,Capital Goods,445,41.0,12.0,
,Eden Prairie,MN,Capital Goods,445,41.0,15.0,
,Eden Prairie,MN,Capital Goods,445,41.0,21.0,
,Eden Prairie,MN,Capital Goods,445,41.0,22.0,
,Eden Prairie,MN,Capital Goods,445,41.0,26.0,
,Eden Prairie,MN,Capital Goods,445,41.0,27.0,
,Eden Prairie,MN,Capital Goods,445,41.0,28.0,
,Eden Prairie,MN,Capital Goods,445,41.0,36.0,
,Eden Prairie,MN,Capital Goods,445,41.0,38.0,
,Eden Prairie,MN,Capital Goods,445,41.0,41.0,
,Eden Prairie,MN,Capital Goods,445,41.0,43.0,
,Eden Prairie,MN,Capital Goods,445,41.0,46.0,
,Eden Prairie,MN,Capital Goods,445,41.0,47.0,
,Eden Prairie,MN,Capital Goods,445,41.0,51.0,
,Eden Prairie,MN,Capital Goods,445,41.0,52.0,
,Eden Prairie,MN,Capital Goods,445,41.0,58.0,
,Eden Prairie,MN,Capital Goods,445,41.0,63.0,
,Eden Prairie,MN,Capital Goods,445,41.0,64.0,
,Eden Prairie,MN,Capital Goods,445,41.0,66.0,
,Eden Prairie,MN,Capital Goods,445,41.0,68.0,
,Eden Prairie,MN,Capital Goods,445,41.0,70.0,
,Eden Prairie,MN,Capital Goods,445,41.0,72.0,
,Eden Prairie,MN,Capital Goods,445,41.0,73.0,
,Eden Prairie,MN,Capital Goods,445,41.0,75.0,
,Eden Prairie,MN,Capital Goods,445,41.0,78.0,
,Eden Prairie,MN,Capital Goods,445,41.0,82.0,
,Eden Prairie,MN,Capital Goods,445,41.0,83.0,
,Eden Prairie,MN,Capital Goods,445,41.0,85.0,
,Eden Prairie,MN,Capital Goods,445,41.0,86.0,
,Eden Prairie,MN,Capital Goods,445,41.0,89.0,
,Eden Prairie,MN,Capital Goods,445,41.0,90.0,
,Eden Prairie,MN,Capital Goods,445,41.0,94.0,
,Eden Prairie,MN,Capital Goods,445,41.0,95.0,
,Eden Prairie,MN,Capital Goods,445,41.0,97.0,
,Eden Prairie,MN,Capital Goods,445,41.0,100.0,
,Eden Prairie,MN,Capital Goods,445,91.0,2.0,
,Eden Prairie,MN,Capital Goods,445,91.0,3.0,
,Eden Prairie,MN,Capital Goods,445,91.0,12.0,
,Eden Prairie,MN,Capital Goods,445,91.0,15.0,
,Eden Prairie,MN,Capital Goods,445,91.0,21.0,
,Eden Prairie,MN,Capital Goods,445,91.0,22.0,
,Eden Prairie,MN,Capital Goods,445,91.0,26.0,
,Eden Prairie,MN,Capital Goods,445,91.0,27.0,
,Eden Prairie,MN,Capital Goods,445,91.0,28.0,
,Eden Prairie,MN,Capital Goods,445,91.0,36.0,
,Eden Prairie,MN,Capital Goods,445,91.0,38.0,
,Eden Prairie,MN,Capital Goods,445,91.0,41.0,
,Eden Prairie,MN,Capital Goods,445,91.0,43.0,
,Eden Prairie,MN,Capital Goods,445,91.0,46.0,
,Eden Prairie,MN,Capital Goods,445,91.0,47.0,
,Eden Prairie,MN,Capital Goods,445,91.0,51.0,
,Eden Prairie,MN,Capital Goods,445,91.0,52.0,
,Eden Prairie,MN,Capital Goods,445,91.0,58.0,
,Eden Prairie,MN,Capital Goods,445,91.0,63.0,
,Eden Prairie,MN,Capital Goods,445,91.0,64.0,
,Eden Prairie,MN,Capital Goods,445,91.0,66.0,
,Eden Prairie,MN,Capital Goods,445,91.0,68.0,
,Eden Prairie,MN,Capital Goods,445,91.0,70.0,
,Eden Prairie,MN,Capital Goods,445,91.0,72.0,
,Eden Prairie,MN,Capital Goods,445,91.0,73.0,
,Eden Prairie,MN,Capital Goods,445,91.0,75.0,
,Eden Prairie,MN,Capital Goods,445,91.0,78.0,
,Eden Prairie,MN,Capital Goods,445,91.0,82.0,
,Eden Prairie,MN,Capital Goods,445,91.0,83.0,
,Eden Prairie,MN,Capital Goods,445,91.0,85.0,
,Eden Prairie,MN,Capital Goods,445,91.0,86.0,
,Eden Prairie,MN,Capital Goods,445,91.0,89.0,
,Eden Prairie,MN,Capital Goods,445,91.0,90.0,
,Eden Prairie,MN,Capital Goods,445,91.0,94.0,
,Eden Prairie,MN,Capital Goods,445,91.0,95.0,
,Eden Prairie,MN,Capital Goods,445,91.0,97.0,
,Eden Prairie,MN,Capital Goods,445,91.0,100.0,
,Houston,TX,Energy & Utilities,486,41.0,2.0,
,Houston,TX,Energy & Utilities,486,41.0,3.0,
,Houston,TX,Energy & Utilities,486,41.0,12.0,
,Houston,TX,Energy & Utilities,486,41.0,15.0,
,Houston,TX,Energy & Utilities,486,41.0,21.0,
,Houston,TX,Energy & Utilities,486,41.0,22.0,
,Houston,TX,Energy & Utilities,486,41.0,26.0,
,Houston,TX,Energy & Utilities,486,41.0,27.0,
,Houston,TX,Energy & Utilities,486,41.0,28.0,
,Houston,TX,Energy & Utilities,486,41.0,36.0,
,Houston,TX,Energy & Utilities,486,41.0,38.0,
,Houston,TX,Energy & Utilities,486,41.0,41.0,
,Houston,TX,Energy & Utilities,486,41.0,43.0,
,Houston,TX,Energy & Utilities,486,41.0,46.0,
,Houston,TX,Energy & Utilities,486,41.0,47.0,
,Houston,TX,Energy & Utilities,486,41.0,51.0,
,Houston,TX,Energy & Utilities,486,41.0,52.0,
,Houston,TX,Energy & Utilities,486,41.0,58.0,
,Houston,TX,Energy & Utilities,486,41.0,63.0,
,Houston,TX,Energy & Utilities,486,41.0,64.0,
,Houston,TX,Energy & Utilities,486,41.0,66.0,
,Houston,TX,Energy & Utilities,486,41.0,68.0,
,Houston,TX,Energy & Utilities,486,41.0,70.0,
,Houston,TX,Energy & Utilities,486,41.0,72.0,
,Houston,TX,Energy & Utilities,486,41.0,73.0,
,Houston,TX,Energy & Utilities,486,41.0,75.0,
,Houston,TX,Energy & Utilities,486,41.0,78.0,
,Houston,TX,Energy & Utilities,486,41.0,82.0,
,Houston,TX,Energy & Utilities,486,41.0,83.0,
,Houston,TX,Energy & Utilities,486,41.0,85.0,
,Houston,TX,Energy & Utilities,486,41.0,86.0,
,Houston,TX,Energy & Utilities,486,41.0,89.0,
,Houston,TX,Energy & Utilities,486,41.0,90.0,
,Houston,TX,Energy & Utilities,486,41.0,94.0,
,Houston,TX,Energy & Utilities,486,41.0,95.0,
,Houston,TX,Energy & Utilities,486,41.0,97.0,
,Houston,TX,Energy & Utilities,486,41.0,100.0,
,Houston,TX,Energy & Utilities,486,91.0,2.0,
,Houston,TX,Energy & Utilities,486,91.0,3.0,
,Houston,TX,Energy & Utilities,486,91.0,12.0,
