matched_name,HQ CITY,HQ STATE,INDUSTRY,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,JUST_CAPITALS_JUST_100_RANK,POINTS_OF_LIGHT_CIVIC_50
etsy,Brooklyn,NY,Retail & Consumer Goods,299,,,
columbus mckinnon,Buffalo,NY,Capital Goods,300,,,
oil states international,Houston,TX,Energy & Utilities,301,,,
tyson foods,Springdale,AR,Retail & Consumer Goods,302,,,
resmed,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",303,,,
american axle manufacturing holdings,Detroit,MI,Automotive & Components,304,,,
quidelortho,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",305,,,
winnebago industries,Eden Prairie,MN,Automotive & Components,306,,,
planet fitness,Hampton,NH,"Hotels, Dining & Leisure",307,,,
steelcase,Grand Rapids,MI,Retail & Consumer Goods,308,,,STEELCASE
paramount group,New York City,NY,Real Estate & Housing,309,,,
lyondellbasell,Houston,TX,Materials & Chemicals,310,,,
fox factory,Duluth,GA,Automotive & Components,311,,,
ipg,New York City,NY,Professional Services,312,,,
hubbell,Shelton,CT,Capital Goods,313,,,
kelly services,Troy,MI,Professional Services,314,,,
intuitive,Sunnyvale,CA,"Health Care, Life Sciences & Pharmaceuticals",315,,,
capital one,McLean,VA,Financial,316,,,CAPITAL ONE
quanta,Houston,TX,Energy & Utilities,317,,,
hologic,Marlborough,MA,"Health Care, Life Sciences & Pharmaceuticals",318,,,
cabot,Boston,MA,Materials & Chemicals,319,,,
petco,San Diego,CA,Retail & Consumer Goods,320,,,
polaris,Medina,MN,Automotive & Components,321,,,
granite construction,Watsonville,CA,Capital Goods,322,,,
intuit,Mountain View,CA,Software,323,23.0,,
bank of america,Charlotte,NC,Financial,324,33.0,,
exact sciences,Madison,WI,"Health Care, Life Sciences & Pharmaceuticals",325,,,
textron,Providence,RI,Capital Goods,326,,,
newmont,Denver,CO,Materials & Chemicals,327,,,
flowserve,Irving,TX,Capital Goods,328,,,
gen digital,Tempe,AZ,Media & Telecommunications,329,,,
diamondrock hospitality,Bethesda,MD,Real Estate & Housing,330,,,
eversource energy,Springfield,MA,Energy & Utilities,331,,7.0,
varex imaging,Salt Lake City,UT,"Health Care, Life Sciences & Pharmaceuticals",332,,,
regal rexnord,Beloit,WI,Capital Goods,333,,,
xenia hotels resorts,Orlando,FL,Real Estate & Housing,334,,,
balchem,Montvale,NJ,Materials & Chemicals,335,,,
regions financial,Birmingham,AL,Financial,336,,,
discover,Riverwoods,IL,Financial,337,,,
general electric,Boston,MA,Capital Goods,338,,,
tpi composites,Scottsdale,AZ,Capital Goods,339,,,
first solar,Tempe,AZ,Energy & Utilities,340,,,
repligen,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",341,,,
elanco,Greenfield,IN,"Health Care, Life Sciences & Pharmaceuticals",342,,,
iridium,McLean,VA,Media & Telecommunications,343,,,
essex,San Mateo,CA,Real Estate & Housing,344,,,
the container store,Coppell,TX,Retail & Consumer Goods,345,,,
wabtec,Pittsburgh,PA,Transport & Logistics,346,,,
sun communities,Southfield,MI,Real Estate & Housing,347,,,
acuity brands,Atlanta,GA,Capital Goods,348,,,
transunion,Chicago,IL,Professional Services,349,,,
spx,Charlotte,NC,Capital Goods,350,,,
ch robinson,Eden Prairie,MN,Transport & Logistics,351,,,
electronic arts,Redwood City,CA,Software,352,,,
visteon,Van Buren Township,MI,Automotive & Components,353,,,
wabash,Lafayette,IN,Capital Goods,354,,,
sysco,Houston,TX,Retail & Consumer Goods,355,,,
pactiv evergreen,Lake Forest,IL,Materials & Chemicals,356,,,
jpmorgan chase,New York City,NY,Financial,357,,37.0,
aramark,Philadelphia,PA,"Hotels, Dining & Leisure",358,,,ARAMARK
public storage,Glendale,CA,Real Estate & Housing,359,,,
herc holdings,Bonita Springs,FL,Capital Goods,360,,,
roper technologies,Sarasota,FL,Technology,361,,,
helix energy solutions,Houston,TX,Energy & Utilities,362,,,
ryam,Jacksonville,FL,"Health Care, Life Sciences & Pharmaceuticals",363,,,
performance food,Richmond,VA,Retail & Consumer Goods,364,,,
copt defense properties,Columbia,MD,Real Estate & Housing,365,,,
godaddy,Tempe,AZ,Technology,366,,,
novanta,Bedford,MA,"Health Care, Life Sciences & Pharmaceuticals",367,,,
the andersons,Maumee,OH,Materials & Chemicals,368,,,
spirit aerosystems,Wichita,KS,Capital Goods,369,,,
viasat,Carlsbad,CA,Media & Telecommunications,370,,,
skywork solutions,Irvine,CA,Technology,371,,,
cmc,Irving,TX,Materials & Chemicals,372,,,
element solutions,Fort Lauderdale,FL,Materials & Chemicals,373,,,
factset,Norwalk,CT,Technology,374,,,
vertex pharmaceuticals,Boston,MA,"Health Care, Life Sciences & Pharmaceuticals",375,76.0,,VERTEX PHARMACEUTICALS
lilly,Indianapolis,IN,"Health Care, Life Sciences & Pharmaceuticals",376,,,
msa safety,Cranberry Township,PA,Capital Goods,377,,,
att,Dallas,TX,Media & Telecommunications,378,,,
arcbest,Fort Smith,AZ,Transport & Logistics,379,,,
phibro animal health,Teaneck,NJ,"Health Care, Life Sciences & Pharmaceuticals",380,,,
marvell technology,Wilmington,DE,Technology,381,,,
medical properties trust,Birmingham,AL,Real Estate & Housing,382,,,
oracle,Austin,TX,Technology,383,,,
cohu,Poway,CA,Technology,384,,,
blackbaud,Charleston,SC,Software,385,,,
corning,Corning,NY,Technology,386,,,
equity lifestyle properties,Chicago,IL,Real Estate & Housing,387,,,
california water service group,San Jose,CA,Energy & Utilities,388,,,
sprouts farmers market,Phoenix,AZ,Retail & Consumer Goods,389,,,
portland general electric,Portland,OR,Energy & Utilities,390,,,
nclh norwegian cruise line holdings,Miami,FL,Transport & Logistics,391,,,
synchrony financial,Stamford,CT,Financial,392,,,
centerpoint energy,Houston,TX,Energy & Utilities,393,,,
dun bradstreet,Jacksonville,FL,Financial,394,,,
udr,Highlands Ranch,CO,Real Estate & Housing,395,,,
henry schein,Melville,NY,"Health Care, Life Sciences & Pharmaceuticals",396,,,
donaldson,Bloomington,MN,Capital Goods,397,,,
gibraltar industries,Buffalo,NY,Capital Goods,398,,,
ingevity,North Charleston,SC,Materials & Chemicals,399,,,
fortune brands,Deerfield,IL,Retail & Consumer Goods,400,,,
amh,Calabasas,CA,Real Estate & Housing,401,,,
simpson manufacturing,Pleasanton,CA,Capital Goods,402,,,
range resources,Fort Worth,TX,Energy & Utilities,403,,,
fis,Jacksonville,FL,Technology,404,,,
axalta coating systems,Glen Mills,PA,Materials & Chemicals,405,,,
cintas,Cincinnati,OH,Retail & Consumer Goods,406,,,
fiserv,Milwaukee,WI,Technology,407,,,
us silica,Katy,TX,Materials & Chemicals,408,,,
ppl,Allentown,PA,Energy & Utilities,409,,,
matson,Honolulu,HI,Transport & Logistics,410,,,
alcoa,Pittsburgh,PA,Materials & Chemicals,411,,,
ashland,Wilmington,DE,Materials & Chemicals,412,,,
nordson,Westlake,OH,Capital Goods,413,,,
starbucks,Seattle,WA,"Hotels, Dining & Leisure",414,,,
green plains,Omaha,NE,Materials & Chemicals,415,,,
american vanguard,Newport Beach,CA,Materials & Chemicals,416,,,
standard motor products,Long Island City,NY,Automotive & Components,417,,,
jbt,Chicago,IL,Technology,418,,,
itt,White Plains,NY,Capital Goods,419,,,
rpm international,Medina,OH,Materials & Chemicals,420,,,
parkerhannifin,Cleveland,OH,Capital Goods,421,,,
hanesbrands,Winston-Salem,NC,Retail & Consumer Goods,422,,,
ducommun,Costa Mesa,CA,Capital Goods,423,,,
trimble,Sunnyvale,CA,Technology,424,,,
aecom,Dallas,TX,Professional Services,425,,,
knowles,Itasca,IL,Technology,426,,,
axcelis,Beverly,MA,Technology,427,,,
compass minerals,Overland Park,KS,Materials & Chemicals,428,,,
f5,Seattle,WA,Technology,429,,,
brinker international,Dallas,TX,"Hotels, Dining & Leisure",430,,,
scotts miraclegro,Marysville,OH,Materials & Chemicals,431,,,
lci industries,Elkhart,IN,Automotive & Components,432,,,
darling ingredients,Irving,TX,Retail & Consumer Goods,433,,,
travel leisure,Orlando,FL,"Hotels, Dining & Leisure",434,,,
corteva agriscience,Indianapolis,IN,"Health Care, Life Sciences & Pharmaceuticals",435,,,
adtalem global education,Chicago,IL,Professional Services,436,,,
conocophillips,Houston,TX,Energy & Utilities,437,,,
booz allen hamilton,McLean,VA,Media & Telecommunications,438,,,
eastman,Kingsport,TN,Materials & Chemicals,439,,,
devon energy,Oklahoma City,OK,Energy & Utilities,440,,,
generac,Waukesha,WI,Energy & Utilities,441,,,
array technologies,Albuquerque,NM,Energy & Utilities,442,,,
marsh mclennan,New York City,NY,Professional Services,443,,,
southwest airlines,Dallas,TX,Transport & Logistics,444,,,
kilroy realty,Los Angeles,CA,Real Estate & Housing,446,,,
citizens financial,Providence,RI,Financial,447,,,
simon property group,Indianapolis,IN,Retail & Consumer Goods,448,,,
hb fuller,St. Paul,MN,Technology,449,,,
autozone,Memphis,TN,Automotive & Components,450,,,
envista,Brea,CA,"Health Care, Life Sciences & Pharmaceuticals",451,,,
merit medical systems,South Jordan,UT,"Health Care, Life Sciences & Pharmaceuticals",452,,,
allison transmission,Indianapolis,IN,Capital Goods,453,,,
azz,Fort Worth,TX,Capital Goods,454,,,
lazboy,Monroe,MI,Real Estate & Housing,455,,,
cboe global markets,Chicago,IL,Financial,456,,,
gates industrial,Denver,CO,Capital Goods,457,,,
semtech,Camarillo,CA,Technology,458,,,
horace mann educators,Springfield,IL,Financial,459,,,
camden property trust,Houston,TX,Real Estate & Housing,460,24.0,,
the allstate,Northbrook,IL,Financial,461,,,
midamerica apartment communities,Memphis,TN,Real Estate & Housing,462,,,
gxo,Greenwich,CT,Transport & Logistics,463,,,
montrose environmental,North Little Rock,AR,Professional Services,464,,,
omega healthcare investors,Hunt Valley,MD,Real Estate & Housing,465,,,
kb home,Los Angeles,CA,Real Estate & Housing,466,,,
clearwater paper,Spokane,WA,Materials & Chemicals,467,,,
aes,Arlington,VA,Energy & Utilities,468,,,
catalent,Somerset,NJ,"Health Care, Life Sciences & Pharmaceuticals",469,,,
the odp,Boca Raton,FL,Retail & Consumer Goods,470,,,
dorman products,Colmar,PA,Automotive & Components,471,,,
worthington industries,Columbus,OH,Materials & Chemicals,472,,,
mks instruments,Andover,MA,Technology,473,,,
aig,New York City,NY,Financial,474,,,
dexcom,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",475,,,
dominion energy,Richmond,VA,Energy & Utilities,476,,,
dominos pizza,Ann Arbor,MI,"Hotels, Dining & Leisure",477,,,
broadridge,Lake Success,NY,Financial,478,,,
hecla mining,Coeur d'Alene,ID,Materials & Chemicals,479,,,
cf industries holdings,Deerfield,IL,Materials & Chemicals,480,,49.0,
united airlines,Chicago,IL,Transport & Logistics,481,,,
united parcel service,Atlanta,GA,Transport & Logistics,482,,,
adm,Chicago,IL,Materials & Chemicals,483,,,
carpenter technology,Philadelphia,PA,Materials & Chemicals,484,,,
hillenbrand,Batesville,IN,Capital Goods,485,,,
potlatchdeltic,Spokane,WA,Capital Goods,487,,,
chegg,Santa Clara,CA,Professional Services,488,,,
yelp,San Francisco,CA,Media & Telecommunications,489,,,
automatic data processing,Roseland,NJ,Technology,490,,,
graftech international,Brooklyn Heights,OH,Capital Goods,491,,,
cousins properties,Atlanta,GA,Real Estate & Housing,492,,,
atkore,Harvey,IL,Capital Goods,493,,,
thor industries,Elkhart,IN,Automotive & Components,494,,,
peabody energy,St. Louis,MO,Energy & Utilities,495,,,
west pharmaceutical services,Exton,PA,"Health Care, Life Sciences & Pharmaceuticals",496,,,
nrg energy,Houston,TX,Energy & Utilities,497,,,
endeavour group,Beverly Hills,CA,Professional Services,498,,,
national vision,Duluth,GA,Retail & Consumer Goods,499,,,
qorvo,Greensboro,NC,Technology,500,,,
summit materials,Denver,CO,Materials & Chemicals,501,,,
materion,Mayfield Heights,OH,Technology,502,,,
movado group,Paramus,NJ,Retail & Consumer Goods,503,,,
timken,North Canton,OH,Capital Goods,504,,,
idexx laboratories,Westbrook,ME,"Health Care, Life Sciences & Pharmaceuticals",505,,,
vistra,Irving,TX,Energy & Utilities,506,,,
taylor morrison,Scottsdale,AZ,Real Estate & Housing,507,,,
ametek,Berwyn,PA,Technology,508,,,
alamo group,Seguin,TX,Transport & Logistics,509,,,
sunpower,San Jose,CA,Energy & Utilities,510,,,
vulcan materials,Birmingham,AL,Capital Goods,511,,,
netflix,Los Gatos,CA,Media & Telecommunications,512,,,
alaska air,Seattle,WA,Transport & Logistics,513,,,
triumph,Berwyn,PA,Automotive & Components,514,,,
toast,Boston,MA,Software,515,,,
global payments,Atlanta,GA,Financial,516,,,
coeur mining,Chicago,IL,Materials & Chemicals,517,,,
sensient technologies,Milwaukee,WI,Materials & Chemicals,518,,,
ulta beauty,Bolingbrook,IL,Retail & Consumer Goods,519,,,
evergy,Kansas City,MO,Energy & Utilities,520,,,
tjx companies,Framingham,MA,Retail & Consumer Goods,521,,,
jack henry associates,Monett,MO,Financial,522,,,
helmerich payne,Tulsa,OK,Energy & Utilities,523,,,
adt,Boca Raton,FL,Professional Services,524,,,
tradeweb markets,New York City,NY,Financial,525,,,
brunswick,Mettawa,IL,Capital Goods,526,,,
progress software,Burlington,MA,Software,527,,,
advance auto parts,Raleigh,NC,Automotive & Components,528,,,
royal gold,Denver,CO,Energy & Utilities,529,,,
alliant energy,Madison,WI,Energy & Utilities,530,,,
coherent,Saxonburg,PA,Technology,531,,,
the cheesecake factory,Calabasas,CA,"Hotels, Dining & Leisure",532,,,
western midstream,The Woodlands,TX,Energy & Utilities,533,,,
bwx technologies,Lynchburg,VA,Capital Goods,534,,,
papa johns international,Louisville,KY,"Hotels, Dining & Leisure",535,,,
hawkins,Roseville,MN,Materials & Chemicals,536,,,
msci,New York City,NY,Technology,537,,,
truist,Charlotte,NC,Financial,538,,,
clearway energy,Princeton,NJ,Energy & Utilities,539,,,
kontoor,Greensboro,NC,Retail & Consumer Goods,540,,,
quest diagnostics,Secaucus,NJ,"Health Care, Life Sciences & Pharmaceuticals",541,,,
franklin resources,San Mateo,CA,Financial,542,,,
unifi,Greensboro,NC,Materials & Chemicals,543,,,
amkor technology,Tempe,AZ,Technology,544,,,
marriott vacations worldwide,Orlando,FL,"Hotels, Dining & Leisure",545,,,
entegris,Billerica,MA,"Health Care, Life Sciences & Pharmaceuticals",546,,,
sanmina,San Jose,CA,Technology,547,,,
treehouse foods,Oak Brook,IL,Retail & Consumer Goods,548,,,
transdigm,Cleveland,OH,Capital Goods,549,,,
entergy,New Orleans,LA,Energy & Utilities,550,,,ENTERGY CORPORATION
dentsply sirona,Charlotte,NC,"Health Care, Life Sciences & Pharmaceuticals",551,,,
teradyne,North Reading,MA,Technology,552,,,
timkensteel,North Canton,OH,Materials & Chemicals,553,,,
aar,Wood Dale,IL,Transport & Logistics,555,,,
tyler technologies,Plano,TX,Software,556,,,
louisianapacific,Nashville,TN,Capital Goods,557,,,
snapon,Kenosha,WI,Capital Goods,558,,,
quaker houghton,Conshohocken,PA,Materials & Chemicals,559,,,
flowers foods,Thomasville,GA,Retail & Consumer Goods,560,,,
paramount global,New York City,NY,Media & Telecommunications,561,,,
akamai,Cambridge,MA,Media & Telecommunications,562,,,
old dominion freight line,Thomasville,NC,Transport & Logistics,563,,,
dollar general,Goodlettsville,TN,Retail & Consumer Goods,564,,,
constellation energy,Baltimore,MD,Energy & Utilities,565,,,
choice hotels,Rockville,MD,"Hotels, Dining & Leisure",566,,,
teledyne technologies,Thousand Oaks,CA,Technology,567,,,
avanos medical,Alpharetta,GA,"Health Care, Life Sciences & Pharmaceuticals",568,,,
cno financial group,Carmel,IN,Financial,569,,,
the childrens place,Secaucus,NJ,Retail & Consumer Goods,570,,,
the hanover,Worcester,MA,Financial,571,,,
tronox,Stamford,CT,Materials & Chemicals,572,,,
arrow electronics,Centennial,CO,Technology,573,,,
fastenal,Winona,MN,Retail & Consumer Goods,574,,,
integra,Princeton,NJ,"Health Care, Life Sciences & Pharmaceuticals",575,,,
western union,Denver,CO,Financial,576,,,
american airlines,Fort Worth,TX,Transport & Logistics,577,,,
ameriprise financial,Minneapolis,MN,Financial,578,,,
frontdoor,Memphis,TN,Real Estate & Housing,579,,,
universal display,Ewing,NJ,Technology,580,,,
graphic packaging holding,Atlanta,GA,Materials & Chemicals,581,,,
nnn reit,Orlando,FL,Financial,582,,,
ufp industries,Grand Rapids,MI,Real Estate & Housing,583,,,
yeti,Austin,TX,Retail & Consumer Goods,584,,,
boyd,Las Vegas,NV,"Hotels, Dining & Leisure",585,,,
crane,Stamford,CT,Materials & Chemicals,586,,,
piedmont,Atlanta,GA,Real Estate & Housing,587,,,
bellring,St. Louis,MO,Retail & Consumer Goods,588,,,
applied industrial technologies,Cleveland,OH,Capital Goods,589,,,
paccar,Bellevue,WA,Transport & Logistics,590,,,
expeditors international of washington,Seattle,WA,Transport & Logistics,591,,,
expro,Houston,TX,Energy & Utilities,593,,,
sjw group,San Jose,CA,Capital Goods,594,,,
ally financial,Detroit,MI,Financial,595,66.0,,
lkq,Chicago,IL,Retail & Consumer Goods,596,,,
fossil,Richardson,TX,Retail & Consumer Goods,597,,,
okta,San Francisco,CA,Software,598,,,
spectrum brands,Middleton,WI,Retail & Consumer Goods,599,,,
modine manufacturing,Racine,WI,Capital Goods,600,,,
forward,Greeneville,TN,Transport & Logistics,601,,,
hilton worldwide holdings,,,,,1.0,,
synchrony,,,,,5.0,,
wegmans food markets,,,,,6.0,,
accenture,,,,,7.0,5.0,
comcast,,,,,10.0,,
pinnacle financial partners,,,,,11.0,,
plante moran,,,,,12.0,,
deloitte,,,,,13.0,,
power home remodeling,,,,,14.0,,
capital one financial,,,,,15.0,,
orrick,,,,,16.0,,
slalom,,,,,17.0,,
box,,,,,18.0,,
world wide technology,,,,,19.0,,
alston bird,,,,,20.0,,
nationwide,,,,,21.0,,
pricewaterhousecoopers,,,,,22.0,,
rocket companies,,,,,26.0,,
ihg hotels resorts,,,,,28.0,,
texas health resources,,,,,29.0,,
kimleyhorn,,,,,30.0,,
edward jones,,,,,31.0,,
crowe,,,,,32.0,,
baird,,,,,34.0,,
progressive,,,,,35.0,,
navy federal credit union,,,,,37.0,,
atlassian,,,,,38.0,,
credit acceptance,,,,,39.0,,
cheesecake factory,,,,,40.0,,
modern technology solutions,,,,,42.0,,
pultegroup,,,,,43.0,,
rsm us,,,,,44.0,,
protiviti,,,,,45.0,,
workiva,,,,,46.0,,
sap america,,,,,47.0,,
aya healthcare,,,,,48.0,,
publicis sapient,,,,,50.0,,
first american financial,,,,,51.0,,
vizient,,,,,52.0,,
abbvie,,,,,53.0,,
ryan,,,,,54.0,,
david weekley homes,,,,,55.0,,
discover financial services,,,,,56.0,,
dhl express us,,,,,57.0,,
the breakers palm beach,,,,,59.0,,
sheetz,,,,,60.0,,
robert half,,,,,61.0,,
merck us,,,,,62.0,,
ey,,,,,64.0,,
nustar energy,,,,,67.0,,
veterans united home loans,,,,,69.0,,
trek bicycle,,,,,71.0,,
kpmg,,,,,72.0,,KPMG LLP
hyatt hotels,,,,,73.0,,
alight,,,,,74.0,,
new american funding,,,,,75.0,,
experian,,,,,77.0,,
ww grainger,,,,,78.0,,
dow,,,,,79.0,,"DOW, INC."
hilcorp energy,,,,,80.0,,
publix super markets,,,,,81.0,,
stryker,,,,,82.0,,
atlantic health system,,,,,83.0,,
perkins coie,,,,,84.0,,
panda restaurant group,,,,,85.0,,
carmax,,,,,87.0,,
jackson healthcare,,,,,88.0,,
baptist health south florida,,,,,89.0,,
pcl construction,,,,,90.0,,
crowdstrike,,,,,92.0,,
hilti,,,,,93.0,,
delta air lines,,,,,94.0,67.0,DELTA AIR LINES
teleperformance,,,,,95.0,,
wellstar health system,,,,,96.0,,
walmart,,,,,97.0,,
allianz life insurance,,,,,98.0,,
nugget market,,,,,99.0,,
scripps health,,,,,100.0,,
trane technologies,,,,,,6.0,
bank of new york bny,,,,,,8.0,
citigroup,,,,,,9.0,
the cigna group,,,,,,10.0,
medtronic,,,,,,14.0,
alphabet,,,,,,19.0,
american electric power company,,,,,,20.0,
the hartford financial services group,,,,,,25.0,
akamai technologies,,,,,,29.0,
salesforcecom,,,,,,30.0,
abbott laboratories,,,,,,31.0,
fifth third bancorp,,,,,,33.0,
zillow group,,,,,,34.0,
marathon petroleum,,,,,,35.0,
pnc financial services group,,,,,,40.0,
boston scientific,,,,,,42.0,
avangrid,,,,,,45.0,
tmobile us,,,,,,48.0,
international business machines,,,,,,50.0,
micron technology,,,,,,53.0,
paypal holdings,,,,,,55.0,
blackrock,,,,,,57.0,
keysight technologies,,,,,,59.0,
freeportmcmoran,,,,,,60.0,FREEPORT-MCMORAN
edison international,,,,,,61.0,
johnson controls international,,,,,,62.0,
bristolmyers squibb,,,,,,71.0,
prudential financial,,,,,,79.0,"PRUDENTIAL FINANCIAL, INC."
affirm holdings,,,,,,81.0,
gilead sciences,,,,,,84.0,
lincoln national,,,,,,87.0,
agilent technologies,,,,,,88.0,
goldman sachs group,,,,,,92.0,
american water works company,,,,,,93.0,
aflac,,,,,,,AFLAC
ares management,,,,,,,ARES MANAGEMENT
blue cross and blue shield of louisiana,,,,,,,BLUE CROSS AND BLUE SHIELD OF LOUISIANA
blue cross and blue shield of massachusetts,,,,,,,BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS
blue shield of california,,,,,,,BLUE SHIELD OF CALIFORNIA
charles schwab co,,,,,,,"CHARLES SCHWAB & CO., INC."
citi,,,,,,,CITI
comcast nbcuniversal,,,,,,,COMCAST NBCUNIVERSAL
comerica bank,,,,,,,COMERICA BANK
csaa insurance group a aaa insurer,,,,,,,"CSAA INSURANCE GROUP, A AAA INSURER"
dte energy,,,,,,,DTE ENERGY
health care service,,,,,,,HEALTH CARE SERVICE CORPORATION
john deere,,,,,,,JOHN DEERE
kellanova,,,,,,,KELLANOVA
keybank,,,,,,,KEYBANK
liberty mutual insurance,,,,,,,LIBERTY MUTUAL INSURANCE
old national bank,,,,,,,OLD NATIONAL BANK
pds health,,,,,,,PDS HEALTH
pacific life,,,,,,,PACIFIC LIFE
pimco,,,,,,,PIMCO
point32health,,,,,,,POINT32HEALTH
regeneron pharmaceuticals,,,,,,,"REGENERON PHARMACEUTICALS, INC."
rtx,,,,,,,RTX
standard chartered bank,,,,,,,STANDARD CHARTERED BANK
subaru of america,,,,,,,"SUBARU OF AMERICA, INC."
tata consultancy services,,,,,,,TATA CONSULTANCY SERVICES
tegna,,,,,,,TEGNA
the hershey,,,,,,,THE HERSHEY COMPANY
toyota north america,,,,,,,TOYOTA NORTH AMERICA
ups,,,,,,,UPS
wynn resorts,,,,,,,"WYNN RESORTS, LIMITED"
