Rank,Company,Industry,City,State,Zip,Website,Employees,Revenue (in millions),Valuation (in millions),Profits (in millions),Ticker,CEO
1,Walmart,General Merchandisers,Bentonville,Arkansas,72716,walmart.com,"2,100,000","$648,125","$484,853","$15,511",WMT,Douglas Mcmillon
2,Amazon,Internet Services and Retailing,Seattle,Washington,98109,amazon.com,"1,525,000","$574,785","$1,873,676","$30,425",AMZN,Andrew R. Jassy
3,Apple,"Computers, Office Equipment",Cupertino,California,95014,apple.com,"161,000","$383,285","$2,647,974","$96,995",AAPL,Timothy D. Cook
4,UnitedHealth Group,Health Care: Insurance and Managed Care,Minnetonka,Minnesota,55343,unitedhealthgroup.com,"440,000","$371,622","$456,081","$22,381",UNH,Andrew P. Witty
5,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Omaha,Nebraska,68131,berkshirehathaway.com,"396,500","$364,482","$908,920","$96,223",BRKA,Warren E. Buffett
6,CVS Health,Health Care: Pharmacy and Other Services,Woonsocket,Rhode Island,2895,cvshealth.com,"259,500","$357,776","$100,374","$8,344",CVS,Karen S. Lynch
7,Exxon Mobil,Petroleum Refining,Spring,Texas,77389,exxonmobil.com,"61,500","$344,582","$461,222","$36,010",XOM,Darren W. Woods
8,Alphabet,Internet Services and Retailing,Mountain View,California,94043,abc.xyz,"182,502","$307,394","$1,884,633","$73,795",GOOGL,Sundar Pichai
9,McKesson,Wholesalers: Health Care,Irving,Texas,75039,mckesson.com,"48,000","$276,711","$70,547","$3,560",MCK,Brian S. Tyler
10,Cencora,Wholesalers: Health Care,Conshohocken,Pennsylvania,19428,cencora.com,"44,000","$262,173","$48,472","$1,745",COR,Steven H. Collis
11,Costco,General Merchandisers,Issaquah,Washington,98027,costco.com,"316,000","$242,290","$324,924","$6,292",COST,Ron M. Vachris
12,JPMorgan Chase,Commercial Banks,New York,New York,10179,jpmorganchase.com,"309,926","$239,425","$576,938","$49,552",JPM,Jamie Dimon
13,Microsoft,Computer Software,Redmond,Washington,98052,microsoft.com,"221,000","$211,915","$3,126,133","$72,361",MSFT,Satya Nadella
14,Cardinal Health,Wholesalers: Health Care,Dublin,Ohio,43017,cardinalhealth.com,"47,520","$205,012","$27,218",$261,CAH,Jason M. Hollar
15,Chevron,Petroleum Refining,San Ramon,California,94583,chevron.com,"45,600","$200,949","$292,966","$21,369",CVX,Michael K. Wirth
16,Cigna Group,Health Care: Pharmacy and Other Services,Bloomfield,Connecticut,6002,thecignagroup.com,"71,413","$195,265","$103,018","$5,164",CI,David M. Cordani
17,Ford Motor,Motor Vehicles & Parts,Dearborn,Michigan,48126,ford.com,"177,000","$176,191","$53,018","$4,347",F,Jim Farley
18,Bank of America,Commercial Banks,Charlotte,North Carolina,28255,bankofamerica.com,"212,985","$171,912","$299,213","$26,515",BAC,Brian T. Moynihan
19,General Motors,Motor Vehicles & Parts,Detroit,Michigan,48265,gm.com,"163,000","$171,842","$52,354","$10,127",GM,Mary T. Barra
20,Elevance Health,Health Care: Insurance and Managed Care,Indianapolis,Indiana,46204,elevancehealth.com,"104,900","$171,340","$120,620","$5,987",ELV,Gail K. Boudreaux
21,Citigroup,Commercial Banks,New York,New York,10013,citigroup.com,"237,925","$156,820","$121,122","$9,228",C,Jane Fraser
22,Centene,Health Care: Insurance and Managed Care,St. Louis,Missouri,63105,centene.com,"67,700","$153,999","$41,979","$2,702",CNC,Sarah M. London
23,Home Depot,Specialty Retailers: Other,Atlanta,Georgia,30339,homedepot.com,"463,100","$152,669","$380,154","$15,143",HD,Edward P. Decker
24,Marathon Petroleum,Petroleum Refining,Findlay,Ohio,45840,marathonpetroleum.com,"18,200","$150,307","$72,608","$9,681",MPC,Michael J. Hennigan
25,Kroger,Food & Drug Stores,Cincinnati,Ohio,45202,thekrogerco.com,"414,000","$150,039","$41,101","$2,164",KR,Rodney Mcmullen
26,Phillips 66,Petroleum Refining,Houston,Texas,77042,phillips66.com,"14,000","$149,890","$69,881","$7,015",PSX,Mark Lashier
27,Fannie Mae,Diversified Financials,Washington,District Of Columbia,20005,fanniemae.com,"8,100","$141,240","$1,818","$17,408",FNMA,Priscilla Almodovar
28,Walgreens Boots Alliance,Food & Drug Stores,Deerfield,Illinois,60015,walgreensbootsalliance.com,"268,500","$139,081","$18,712","-$3,080",WBA,Timothy Wentworth
29,Valero Energy,Petroleum Refining,San Antonio,Texas,78249,valero.com,"9,897","$139,001","$56,235","$8,835",VLO,R. Lane Riggs
30,Meta Platforms,Internet Services and Retailing,Menlo Park,California,94025,https://fb.com,"67,317","$134,902","$1,237,940","$39,098",META,Mark Zuckerberg
31,Verizon Communications,Telecommunications,New York,New York,10036,verizon.com,"105,400","$133,974","$176,652","$11,614",VZ,Hans E. Vestberg
32,AT&T,Telecommunications,Dallas,Texas,75202,att.com,"150,470","$122,428","$125,889","$14,400",T,John T. Stankey
33,Comcast,Telecommunications,Philadelphia,Pennsylvania,19103,comcastcorporation.com,"186,000","$121,572","$172,180","$15,388",CMCSA,Brian L. Roberts
34,Wells Fargo,Commercial Banks,San Francisco,California,94104,wellsfargo.com,"226,000","$115,340","$205,202","$19,142",WFC,Charles W. Scharf
35,Goldman Sachs Group,Commercial Banks,New York,New York,10282,goldmansachs.com,"45,300","$108,418","$135,552","$8,516",GS,David M. Solomon
36,Freddie Mac,Diversified Financials,McLean,Virginia,22102,freddiemac.com,"8,020","$108,050",$878,"$10,538",FMCC,Michael T. Hutchins
37,Target,General Merchandisers,Minneapolis,Minnesota,55403,target.com,"415,000","$107,412","$81,816","$4,138",TGT,Brian C. Cornell
38,Humana,Health Care: Insurance and Managed Care,Louisville,Kentucky,40202,humana.com,"67,600","$106,374","$41,797","$2,489",HUM,Bruce D. Broussard
39,State Farm Insurance,Insurance: Property and Casualty (Mutual),Bloomington,Illinois,61710,statefarm.com,"65,054","$104,199",,"-$6,272",,Michael L. Tipsord
40,Tesla,Motor Vehicles & Parts,Austin,Texas,78725,tesla.com,"140,473","$96,773","$559,854","$14,997",TSLA,Elon Musk
41,Morgan Stanley,Commercial Banks,New York,New York,10036,morganstanley.com,"80,006","$96,194","$153,977","$9,087",MS,Edward N. Pick
42,Johnson & Johnson,Pharmaceuticals,New Brunswick,New Jersey,8933,jnj.com,"131,900","$95,195","$381,204","$35,153",JNJ,Joaquin Duato
43,Archer Daniels Midland,Food Production,Chicago,Illinois,60601,adm.com,"41,008","$93,935","$32,024","$3,483",ADM,Juan R. Luciano
44,PepsiCo,Food Consumer Products,Purchase,New York,10577,pepsico.com,"318,000","$91,471","$240,553","$9,074",PEP,Ramon L. Laguarta
45,United Parcel Service,"Mail, Package and Freight Delivery",Atlanta,Georgia,30328,ups.com,"382,550","$90,958","$126,829","$6,708",UPS,Carol B. Tome
46,FedEx,"Mail, Package and Freight Delivery",Memphis,Tennessee,38120,fedex.com,"446,400","$90,155","$71,299","$3,972",FDX,Rajesh Subramaniam
47,Walt Disney,Entertainment,Burbank,California,91521,thewaltdisneycompany.com,"199,125","$88,898","$224,445","$2,354",DIS,Robert A. Chapek
48,Dell Technologies,"Computers, Office Equipment",Round Rock,Texas,78682,delltechnologies.com,"120,000","$88,425","$81,451","$3,211",DELL,Michael S. Dell
49,Lowe's,Specialty Retailers: Other,Mooresville,North Carolina,28117,lowes.com,"226,000","$86,377","$145,753","$7,726",LOW,Marvin R. Ellison
50,Procter & Gamble,Household and Personal Products,Cincinnati,Ohio,45202,pginvestor.com,"107,000","$82,006","$381,778","$14,653",PG,Jon R. Moeller
51,Energy Transfer,Pipelines,Dallas,Texas,75225,energytransfer.com,"13,786","$78,586","$52,975","$3,935",ET,Thomas E. Long
52,Boeing,Aerospace & Defense,Arlington,Virginia,22202,boeing.com,"171,000","$77,794","$117,750","-$2,222",BA,David L. Calhoun
53,Albertsons,Food & Drug Stores,Boise,Idaho,83706,albertsonscompanies.com,"198,650","$77,650","$12,350","$1,514",ACI,Vivek Sankaran
54,Sysco,Wholesalers: Food and Grocery,Houston,Texas,77077,sysco.com,"71,750","$76,325","$40,414","$1,770",SYY,Kevin P. Hourican
55,RTX,Aerospace & Defense,Arlington,Virginia,22209,rtx.com,"185,000","$68,920","$129,680","$3,195",RTX,Christopher T. Calio
56,General Electric,Industrial Machinery,Boston,Massachusetts,2111,ge.com,"125,000","$67,954","$191,901","$9,481",GE,Lawrence Culp
57,Lockheed Martin,Aerospace & Defense,Bethesda,Maryland,20817,lockheedmartin.com,"122,000","$67,571","$109,394","$6,920",LMT,James D. Taiclet Jr.
58,American Express,Diversified Financials,New York,New York,10285,americanexpress.com,"74,600","$67,364","$163,946","$8,374",AXP,Stephen J. Squeri
59,Caterpillar,Construction and Farm Machinery,Irving,Texas,75039,caterpillar.com,"113,200","$67,060","$182,987","$10,335",CAT,James Umpleby
60,MetLife,"Insurance: Life, Health (Stock)",New York,New York,10166,metlife.com,"45,000","$66,905","$53,583","$1,578",MET,Michel A. Khalaf
61,HCA Healthcare,Health Care: Medical Facilities,Nashville,Tennessee,37203,hcahealthcare.com,"265,000","$64,968","$88,214","$5,242",HCA,Samuel N. Hazen
62,Progressive,Insurance: Property and Casualty (Stock),Mayfield Village,Ohio,44143,progressive.com,"61,432","$62,109","$121,134","$3,902",PGR,Susan Patricia Griffith
63,International Business Machines,Information Technology Services,Armonk,New York,10504,ibm.com,"296,600","$61,860","$175,062","$7,502",IBM,Arvind Krishna
64,Deere,Construction and Farm Machinery,Moline,Illinois,61265,deere.com,"82,956","$61,251","$114,333","$10,166",DE,John C. May
65,Nvidia,Semiconductors and Other Electronic Components,Santa Clara,California,95051,nvidia.com,"29,600","$60,922","$2,258,900","$29,760",NVDA,Jen-Hsun Huang
66,StoneX Group,Diversified Financials,New York,New York,10169,stonex.com,"4,137","$60,856","$2,217",$239,SNEX,Sean M. O'Connor
67,Merck,Pharmaceuticals,Rahway,New Jersey,7065,merck.com,"71,000","$60,115","$334,182",$365,MRK,Robert M. Davis
68,ConocoPhillips,"Mining, Crude-Oil Production",Houston,Texas,77079,conocophillips.com,"9,900","$58,574","$149,733","$10,957",COP,Ryan M. Lance
69,Pfizer,Pharmaceuticals,New York,New York,10001,pfizer.com,"88,000","$58,496","$157,136","$2,119",PFE,Albert Bourla
70,Delta Air Lines,Airlines,Atlanta,Georgia,30354,delta.com,"103,000","$58,048","$30,796","$4,609",DAL,Edward H. Bastian
71,TD Synnex,Wholesalers: Electronics and Office Equipment,Fremont,California,94538,tdsynnex.com,"28,000","$57,555","$9,857",$627,SNX,Richard T. Hume
72,Publix Super Markets,Food & Drug Stores,Lakeland,Florida,33811,publix.com,"253,000","$57,534",,"$4,349",,Kevin S. Murphy
73,Allstate,Insurance: Property and Casualty (Stock),Northbrook,Illinois,60062,allstate.com,"53,200","$57,094","$45,513",-$188,ALL,Thomas J. Wilson
74,Cisco Systems,Network and Other Communications Equipment,San Jose,California,95134,cisco.com,"84,900","$56,998","$202,095","$12,613",CSCO,Charles H. Robbins
75,Nationwide,Insurance: Property and Casualty (Mutual),Columbus,Ohio,43215,nationwide.com,"24,118","$54,609",,-$45,,Kirt A. Walker
76,Charter Communications,Telecommunications,Stamford,Connecticut,6902,charter.com,"101,100","$54,607","$51,316","$4,557",CHTR,Christopher L. Winfrey
77,AbbVie,Pharmaceuticals,North Chicago,Illinois,60064,abbvie.com,"50,000","$54,318","$322,435","$4,863",ABBV,Richard A. Gonzalez
78,New York Life Insurance,"Insurance: Life, Health (Mutual)",New York,New York,10010,newyorklife.com,"15,384","$54,317",,$805,,Craig Desanto
79,Intel,Semiconductors and Other Electronic Components,Santa Clara,California,95054,intel.com,"124,800","$54,228","$188,026","$1,689",INTC,Patrick P. Gelsinger
80,TJX,Specialty Retailers: Apparel,Framingham,Massachusetts,1701,tjx.com,"349,000","$54,217","$115,586","$4,474",TJX,Ernie L. Herrman
81,Prudential Financial,"Insurance: Life, Health (Stock)",Newark,New Jersey,7102,prudential.com,"40,366","$53,979","$42,191","$2,488",PRU,Charles F. Lowrey
82,HP,"Computers, Office Equipment",Palo Alto,California,94304,hp.com,"58,000","$53,718","$29,570","$3,263",HPQ,Enrique J. Lores
83,United Airlines Holdings,Airlines,Chicago,Illinois,60606,united.com,"103,300","$53,717","$15,706","$2,618",UAL,Scott Kirby
84,Performance Food Group,Wholesalers: Food and Grocery,Richmond,Virginia,23238,pfgc.com,"34,825","$53,355","$11,613",$397,PFGC,George L. Holm
85,Tyson Foods,Food Production,Springdale,Arkansas,72762,tysonfoods.com,"139,000","$52,881","$20,928",-$648,TSN,Donnie D. King
86,American Airlines Group,Airlines,Fort Worth,Texas,76155,aa.com,"132,100","$52,788","$10,051",$822,AAL,Robert D. Isom
87,Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),Boston,Massachusetts,2116,libertymutual.com,"45,000","$52,612",,$213,,Timothy Sweeney
88,Nike,Apparel,Beaverton,Oregon,97005,investors.nike.com,"83,700","$51,217","$142,391","$5,070",NKE,John Donahoe
89,Oracle,Computer Software,Austin,Texas,78741,oracle.com,"164,000","$49,954","$345,241","$8,503",ORCL,Safra A. Catz
90,Enterprise Products Partners,Pipelines,Houston,Texas,77002,enterpriseproducts.com,"7,500","$49,715","$63,269","$5,532",EPD,James Teague
91,Capital One Financial,Commercial Banks,McLean,Virginia,22102,capitalone.com,"51,987","$49,484","$56,891","$4,887",COF,Richard D. Fairbank
92,Plains GP Holdings,Pipelines,Houston,Texas,77002,plains.com,"4,200","$48,712","$3,598",$198,PAGP,Wilfred C.W. Chiang
93,World Kinect,Energy,Miami,Florida,33178,world-kinect.com,"5,289","$47,711","$1,583",$53,WKC,Michael J. Kasbar
94,American International Group,Insurance: Property and Casualty (Stock),New York,New York,10020,aig.com,"25,200","$46,802","$53,230","$3,643",AIG,Peter S. Zaffino
95,Coca-Cola,Beverages,Atlanta,Georgia,30313,coca-colacompany.com,"79,100","$45,754","$263,759","$10,714",KO,James R. Quincey
96,TIAA,"Insurance: Life, Health (Mutual)",New York,New York,10017,tiaa.org,"16,023","$45,735",,"-$1,409",,Thasunda Brown Duckett
97,CHS,Food Production,Inver Grove Heights,Minnesota,55077,chsinc.com,"10,609","$45,590",,"$1,900",,Jay D. Debertin
98,Bristol-Myers Squibb,Pharmaceuticals,Princeton,New Jersey,8543,bms.com,"34,100","$45,006","$109,911","$8,025",BMY,Christopher S. Boerner
99,Dow,Chemicals,Midland,Michigan,48674,dow.com,"35,900","$44,622","$40,740",$589,DOW,James R. Fitterling
100,Best Buy,Specialty Retailers: Other,Richfield,Minnesota,55423,investors.bestbuy.com,"85,000","$43,452","$17,668","$1,241",BBY,Corie S. Barry
101,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",Waltham,Massachusetts,2451,thermofisher.com,"122,000","$42,857","$221,623","$5,995",TMO,Marc N. Casper
102,Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)",Springfield,Massachusetts,1111,massmutual.com,"11,323","$42,641",,-$772,,Roger W. Crandall
103,United Services Automobile Assn.,Insurance: Property and Casualty (Stock),San Antonio,Texas,78288,usaa.com,"37,376","$42,493",,"$1,214",,Wayne Peacock
104,General Dynamics,Aerospace & Defense,Reston,Virginia,20190,gd.com,"111,600","$42,272","$77,506","$3,315",GD,Phebe N. Novakovic
105,Travelers,Insurance: Property and Casualty (Stock),New York,New York,10017,travelers.com,"33,133","$41,364","$52,731","$2,991",TRV,Alan Schnitzer
106,Warner Bros. Discovery,Entertainment,New York,New York,10003,https://wbd.com,"35,300","$41,321","$21,299","-$3,126",WBD,David M. Zaslav
107,U.S. Bancorp,Commercial Banks,Minneapolis,Minnesota,55402,usbank.com,"75,465","$40,624","$69,657","$5,429",USB,Andrew J. Cecere
108,Abbott Laboratories,Medical Products and Equipment,Abbott Park,Illinois,60064,abbott.com,"114,000","$40,109","$197,221","$5,723",ABT,Robert B. Ford
109,Northrop Grumman,Aerospace & Defense,Falls Church,Virginia,22042,northropgrumman.com,"101,000","$39,290","$70,909","$2,056",NOC,Kathy Warden
110,Northwestern Mutual,"Insurance: Life, Health (Mutual)",Milwaukee,Wisconsin,53202,northwesternmutual.com,"8,239","$38,788",,$711,,John Schlifske
111,Dollar General,Specialty Retailers: Other,Goodlettsville,Tennessee,37072,dollargeneral.com,"185,800","$38,692","$34,282","$1,661",DG,Todd J. Vasos
112,PBF Energy,Petroleum Refining,Parsippany,New Jersey,7054,pbfenergy.com,"3,776","$38,325","$6,860","$2,141",PBF,Matthew C. Lucey
113,Uber Technologies,Internet Services and Retailing,San Francisco,California,94158,uber.com,"30,400","$37,281","$160,258","$1,887",UBER,Dara Khosrowshahi
114,Honeywell International,Industrial Machinery,Charlotte,North Carolina,28202,honeywell.com,"95,000","$36,662","$133,860","$5,658",HON,Vimal Kapur
115,Mondelez International,Food Consumer Products,Chicago,Illinois,60607,mondelezinternational.com,"91,000","$36,016","$94,253","$4,959",MDLZ,Dirk Van De Put
116,Starbucks,Food Services,Seattle,Washington,98134,starbucks.com,"381,000","$35,976","$103,472","$4,125",SBUX,Laxman Narasimhan
117,Qualcomm,Semiconductors and Other Electronic Components,San Diego,California,92121,qualcomm.com,"50,000","$35,820","$188,939","$7,232",QCOM,Cristiano R. Amon
118,Broadcom,Semiconductors and Other Electronic Components,Palo Alto,California,94304,broadcom.com,"20,000","$35,819","$614,223","$14,082",AVGO,Hock E. Tan
119,US Foods Holding,Wholesalers: Food and Grocery,Rosemont,Illinois,60018,usfoods.com,"30,000","$35,597","$13,217",$506,USFD,David Flitman
120,D.R. Horton,Homebuilders,Arlington,Texas,76011,drhorton.com,"13,450","$35,460","$54,601","$4,746",DHI,Paul J. Romanowski
121,Philip Morris International,Tobacco,Stamford,Connecticut,6901,pmi.com,"82,700","$35,174","$142,428","$7,813",PM,Jacek Olczak
122,Paccar,Motor Vehicles & Parts,Bellevue,Washington,98004,paccar.com,"32,400","$35,127","$64,920","$4,601",PCAR,Preston Feight
123,Salesforce,Computer Software,San Francisco,California,94105,salesforce.com,"72,682","$34,857","$292,145","$4,136",CRM,Marc R. Benioff
124,Nucor,Metals,Charlotte,North Carolina,28211,nucor.com,"32,000","$34,714","$47,492","$4,525",NUE,Leon J. Topalian
125,Jabil,Semiconductors and Other Electronic Components,St. Petersburg,Florida,33716,jabil.com,"236,000","$34,702","$17,085",$818,JBL,Kenneth S. Wilson
126,Lennar,Homebuilders,Miami,Florida,33126,lennar.com,"12,284","$34,233","$47,375","$3,939",LEN,Jonathan M. Jaffe
127,Eli Lilly,Pharmaceuticals,Indianapolis,Indiana,46285,lilly.com,"43,000","$34,124","$739,658","$5,240",LLY,David A. Ricks
128,Molina Healthcare,Health Care: Insurance and Managed Care,Long Beach,California,90802,molinahealthcare.com,"18,000","$34,072","$24,068","$1,091",MOH,Joseph M. Zubretsky
129,Cummins,Industrial Machinery,Columbus,Indiana,47201,cummins.com,"75,500","$34,065","$41,798",$735,CMI,Jennifer Rumsey
130,Bank of New York Mellon,Commercial Banks,New York,New York,10286,bnymellon.com,"53,400","$33,805","$43,380","$3,286",BK,Robin Vince
131,Netflix,Entertainment,Los Gatos,California,95032,netflix.com,"13,000","$33,723","$262,828","$5,408",NFLX,Ted Sarandos
132,Truist Financial,Commercial Banks,Charlotte,North Carolina,28202,truist.com,"49,935","$33,246","$52,022","-$1,091",TFC,William H. Rogers Jr.
133,Arrow Electronics,Wholesalers: Electronics and Office Equipment,Centennial,Colorado,80112,arrow.com,"22,100","$33,107","$6,988",$904,ARW,Sean J. Kerins
134,3M,Chemicals,St. Paul,Minnesota,55144,3m.com,"85,000","$32,681","$58,695","-$6,995",MMM,William M. Brown
135,Visa,Financial Data Services,San Francisco,California,94105,visa.com,"28,800","$32,653","$560,848","$17,273",V,Ryan Mcinerney
136,Apollo Global Management,Securities,New York,New York,10019,apollo.com,"6,855","$32,644","$63,890","$5,047",APO,Marc Rowan
137,HF Sinclair,Petroleum Refining,Dallas,Texas,75201,hfsinclair.com,"5,218","$31,964","$11,988","$1,590",DINO,Tim Go
138,CBRE Group,Real Estate,Dallas,Texas,75201,cbre.com,"130,000","$31,949","$29,726",$986,CBRE,Robert E. Sulentic
139,PNC Financial Services Group,Commercial Banks,Pittsburgh,Pennsylvania,15222,pnc.com,"55,612","$31,882","$64,292","$5,578",PNC,William S. Demchak
140,Lithia Motors,"Automotive Retailing, Services",Medford,Oregon,97501,https://investors.lithiadriveway.com,"25,051","$31,311","$8,283","$1,001",LAD,Bryan B. Deboer
141,CarMax,"Automotive Retailing, Services",Richmond,Virginia,23238,carmax.com,"30,621","$31,126","$13,757",$485,KMX,William D. Nash
142,Paramount Global,Entertainment,New York,New York,10036,paramount.com,"24,150","$30,610","$8,099",-$608,PARA,Robert M. Bakish
143,Dollar Tree,Specialty Retailers: Other,Chesapeake,Virginia,23320,dollartree.com,"138,860","$30,604","$29,024",-$998,DLTR,Richard W. Dreiling
144,United Natural Foods,Wholesalers: Food and Grocery,Providence,Rhode Island,2908,unfi.com,"29,455","$30,272",$683,$24,UNFI,Sandy Douglas
145,PayPal Holdings,Financial Data Services,San Jose,California,95131,paypal.com,"27,200","$29,771","$71,796","$4,246",PYPL,Alex Chriss
146,Penske Automotive Group,"Automotive Retailing, Services",Bloomfield Hills,Michigan,48302,penskeautomotive.com,"28,000","$29,527","$10,861","$1,053",PAG,Roger S. Penske
147,Hewlett Packard Enterprise,"Computers, Office Equipment",Spring,Texas,77389,hpe.com,"62,000","$29,135","$23,049","$2,025",HPE,Antonio F. Neri
148,Duke Energy,Utilities: Gas and Electric,Charlotte,North Carolina,28202,duke-energy.com,"27,037","$28,932","$74,608","$2,841",DUK,Lynn J. Good
149,Occidental Petroleum,"Mining, Crude-Oil Production",Houston,Texas,77046,oxy.com,"12,570","$28,918","$57,611","$4,696",OXY,Vicki Hollub
150,NRG Energy,Energy,Houston,Texas,77002,nrg.com,"18,131","$28,823","$14,535",-$202,NRG,Lawrence S. Coben
151,Amgen,Pharmaceuticals,Thousand Oaks,California,91320,amgen.com,"26,700","$28,190","$152,373","$6,717",AMGN,Robert A. Bradway
152,NextEra Energy,Utilities: Gas and Electric,Juno Beach,Florida,33408,nexteraenergy.com,"16,800","$28,114","$131,171","$7,310",NEE,John W. Ketchum
153,Danaher,Medical Products and Equipment,Washington,District Of Columbia,20037,danaher.com,"62,000","$27,602","$184,929","$4,764",DHR,Rainer M. Blair
154,Gilead Sciences,Pharmaceuticals,Foster City,California,94404,gilead.com,"18,000","$27,116","$91,341","$5,665",GILD,Daniel P. O'Day
155,AutoNation,"Automotive Retailing, Services",Fort Lauderdale,Florida,33301,autonation.com,"25,300","$26,949","$6,902","$1,021",AN,Michael M. Manley
156,Kraft Heinz,Food Consumer Products,Chicago,Illinois,60601,kraftheinzcompany.com,"36,000","$26,640","$44,857","$2,855",KHC,Carlos Abrams-Rivera
157,Avnet,Wholesalers: Electronics and Office Equipment,Phoenix,Arizona,85034,avnet.com,"15,800","$26,537","$4,480",$771,AVT,Philip R. Gallagher
158,Applied Materials,Semiconductors and Other Electronic Components,Santa Clara,California,95054,appliedmaterials.com,"34,000","$26,517","$171,356","$6,856",AMAT,Gary E. Dickerson
159,Southwest Airlines,Airlines,Dallas,Texas,75235,southwest.com,"74,806","$26,091","$17,417",$465,LUV,Robert E. Jordan
160,Charles Schwab,Securities,Westlake,Texas,76262,aboutschwab.com,"33,000","$25,521","$131,975","$5,067",SCHW,Walter W. Bettinger
161,Baker Hughes,"Oil and Gas Equipment, Services",Houston,Texas,77079,bakerhughes.com,"58,000","$25,506","$33,530","$1,943",BKR,Lorenzo Simonelli
162,McDonald's,Food Services,Chicago,Illinois,60607,investor.mcdonalds.com,"150,000","$25,494","$203,582","$8,469",MCD,Christopher J. Kempczinski
163,Southern,Utilities: Gas and Electric,Atlanta,Georgia,30308,southerncompany.com,"27,960","$25,253","$78,269","$3,976",SO,Christopher C. Womack
164,Mastercard,Financial Data Services,Purchase,New York,10577,mastercard.com,"33,400","$25,098","$449,253","$11,195",MA,Michael Miebach
165,Constellation Energy,Energy,Baltimore,Maryland,21231,constellationenergy.com,"13,842","$24,918","$58,250","$1,623",CEG,Joseph Dominguez
